[ c557-401.stampede.tacc.utexas.edu, 0 ]
[ c557-402.stampede.tacc.utexas.edu, 1 ]
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.8904340267, 1474478942.8933129311, 0.000001439452171,       1
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.8933370113, 1474478942.8957390785, 0.000001201033592,       2
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.8957490921, 1474478942.8981549740, 0.000001202940941,       4
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.8981649876, 1474478942.9005770683, 0.000001206040382,       8
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9005858898, 1474478942.9030539989, 0.000001234054565,      16
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9030630589, 1474478942.9055728912, 0.000001254916191,      32
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9055819511, 1474478942.9081668854, 0.000001292467117,      64
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9081759453, 1474478942.9109609127, 0.000001392483711,     128
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9109709263, 1474478942.9149301052, 0.000001979589462,     256
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9149389267, 1474478942.9191579819, 0.000002109527588,     512
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9191670418, 1474478942.9239730835, 0.000002403020859,    1024
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9239850044, 1474478942.9298639297, 0.000002939462662,    2048
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9298748970, 1474478942.9368190765, 0.000003472089767,    4096
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9368300438, 1474478942.9460949898, 0.000004632472992,    8192
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9461069107, 1474478942.9598460197, 0.000006869554520,   16384
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9609251022, 1474478942.9835720062, 0.000011323451996,   32768
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478942.9835860729, 1474478943.0179018974, 0.000017157912254,   65536
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478943.0179140568, 1474478943.0756070614, 0.000028846502304,  131072
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478943.0756180286, 1474478943.1802439690, 0.000052312970161,  262144
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478943.1802539825, 1474478943.3786039352, 0.000099174976349,  524288
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478943.3786149025, 1474478943.7645730972, 0.000192979097366, 1048576
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478943.7645840645, 1474478944.5254740715, 0.000380445003510, 2097152
[ c557-401.stampede.tacc.utexas.edu, 0 ], 1474478944.5254840851, 1474478946.0366458893, 0.000755580902100, 4194304

