[ comet-10-51.sdsc.edu, 1 ]
[ comet-10-51.sdsc.edu, 0 ]
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2569489479, 1474473610.2575340271, 0.000000292539597,       1
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2576050758, 1474473610.2581629753, 0.000000278949738,       2
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2582120895, 1474473610.2587490082, 0.000000268459320,       4
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2587959766, 1474473610.2593169212, 0.000000260472298,       8
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2593610287, 1474473610.2599129677, 0.000000275969505,      16
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2599608898, 1474473610.2605130672, 0.000000276088715,      32
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2605569363, 1474473610.2611680031, 0.000000305533409,      64
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2612171173, 1474473610.2618899345, 0.000000336408615,     128
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2619349957, 1474473610.2627339363, 0.000000399470329,     256
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2627820969, 1474473610.2636480331, 0.000000432968140,     512
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2636930943, 1474473610.2647309303, 0.000000518918037,    1024
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2647809982, 1474473610.2662639618, 0.000000741481781,    2048
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2663140297, 1474473610.2785589695, 0.000006122469902,    4096
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2785780430, 1474473610.2824649811, 0.000001943469048,    8192
[ comet-10-51.sdsc.edu, 0 ], 1474473610.2825210094, 1474473610.3003959656, 0.000008937478065,   16384
[ comet-10-51.sdsc.edu, 0 ], 1474473610.3007969856, 1474473610.3259320259, 0.000012567520142,   32768
[ comet-10-51.sdsc.edu, 0 ], 1474473610.3259580135, 1474473610.3709840775, 0.000022513031960,   65536
[ comet-10-51.sdsc.edu, 0 ], 1474473610.3710970879, 1474473610.4861559868, 0.000057529449463,  131072
[ comet-10-51.sdsc.edu, 0 ], 1474473610.4862949848, 1474473610.6651070118, 0.000089406013489,  262144
[ comet-10-51.sdsc.edu, 0 ], 1474473610.6652269363, 1474473610.9896850586, 0.000162229061127,  524288
[ comet-10-51.sdsc.edu, 0 ], 1474473610.9996519089, 1474473611.6651549339, 0.000332751512527, 1048576
[ comet-10-51.sdsc.edu, 0 ], 1474473611.6652948856, 1474473613.0187959671, 0.000676750540733, 2097152
[ comet-10-51.sdsc.edu, 0 ], 1474473613.0188210011, 1474473615.8042991161, 0.001392739057541, 4194304
